title,Type,description,level,course_duration,ratings,reviews_count,course_skills,Prerequisites,course_url,platform,course_img,domain,paid,students_count
Data Engineering with AWS,nanodegree,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate,4 Months,4.6,1802.0,"AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Intermediate Python, intermediate SQL & command line",https://www.udacity.com/course/data-engineer-nanodegree--nd027,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=640&q=100&fit=clip&auto=format,Data Engineering,Yes,N/A
Product Manager,nanodegree,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner,4 Months,4.7,864.0,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",No Experience Required,https://www.udacity.com/course/product-manager-nanodegree--nd036,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=828&q=100&fit=clip&auto=format,Product Management,Yes,N/A
C++,nanodegree,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate,4 Months,4.5,1126.0,"Data Structures & Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",Intermediate Programming,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=828&q=100&fit=clip&auto=format,Python Programming,Yes,N/A
Business Analytics,nanodegree,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner,3 Months,4.8,2649.0,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",None,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/fdf314615dab9455b1e163ae8ab698abde8453c8-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Analysis,Yes,N/A
Data Scientist,nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced,4 Months,4.7,1212.0,"Machine Learning, Deep Learning, Software Engineering","Python, SQL & Statistics",https://www.udacity.com/course/data-scientist-nanodegree--nd025,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/11a90ae272df3763621552365876f6ea8ac21a97-1324x742.png?w=3840&q=80&fit=clip&auto=format,Machine Learning,Yes,N/A
Introduction to Programming,nanodegree,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner,4 Months,4.7,3865.0,"Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript scripts,  JavaScript Functions,  JavaScript arrays,  JavaScript objects",No coding experience needed,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/b32fd6fc93400e5aa6beca327fb5b4a74761b180-1324x742.png?w=3840&q=80&fit=clip&auto=format,Web Development,Yes,N/A
Digital Marketing,nanodegree,"Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.
",beginner,3 Months,4.7,2418.0,"Digital Marketing,  Marketing fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital marketing metrics,  Display Ads,  Video advertising,  Email marketing,  Branding strategy",No Experience Required.,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/1706e25eac3c20ab4bf5d2062264a288af29f496-1324x742.png?w=3840&q=80&fit=clip&auto=format,Digital Marketing,Yes,N/A
Data Analyst,nanodegree,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate,4 Months,4.6,3496.0,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics",Python & SQL,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8980e92e19621099e7f69bf42be9d4aece603754-1456x816.png?w=3840&q=80&fit=clip&auto=format,SQL and Statistics,Yes,N/A
Deep Learning,nanodegree,Deep learning is driving advances in artificial intelligence that are changing our worldâ€”enroll now and learn to build and apply your own deep neural networks.,intermediate,4 Months,4.7,3368.0,"Neural Networks,  Perceptron,  Autoencoders,  Convolutional Neural Networks,  PyTorch,  Object Detection,  Recurrent Neural Networks,  Long-short term Memory Networks,  Backpropagation,  Generative Adversarial Networks,  Deep Learning Techniques,  Image Generation,  Hyperparameter Tuning",Intermediate Python,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=3840&q=80&fit=clip&auto=format,Deep Learning,Yes,N/A
Programming for Data Science with Python,nanodegree,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner,3 Months,4.7,1558.0,"Python, Numpy & Pandas, SQL, Git & GitHub",None,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e91a4659d80f9de0294d1fc4d9c78b23a4e93146-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Science Tools,Yes,N/A
Full Stack Web Developer,nanodegree,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",intermediate,4 Months,4.5,749.0,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Prior experience with Python, CSS/HTML, and Git",https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/26ec24d4b156067dae78f954f28b12fa64e9bc8b-772x433.png?w=3840&q=80&fit=clip&auto=format,Web Development,Yes,N/A
AWS Machine Learning Engineer,nanodegree,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate,5 Months,4.7,143.0,"Feature Engineering,  Machine Learning Fluency,  Data Loading with SageMaker,  Amazon S3,  Neural Network Basics,  Deep Learning Fluency,  Hyperparameter Tuning,  Machine Learning Framework Fundamentals,  SageMaker JumpStart,  Cloud Resource Allocation,  Distributed Model Training with SageMaker,  AWS Lambda ",Basic knowledge of machine learning algorithms and Python programming,https://www.udacity.com/course/aws-machine-learning-engineer-nanodegree--nd189,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f65b0f36470667f36f2ab480f41a6eef6a0dfaa9-772x433.png?w=3840&q=80&fit=clip&auto=format,Machine Learning,Yes,N/A
SQL,nanodegree,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner,2 Months,4.6,339.0,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types,https://www.udacity.com/course/learn-sql--nd072,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/844bbcb6611a250229f627f83416d5fa52e1917b-1324x742.png?w=3840&q=80&fit=clip&auto=format,SQL,Yes,N/A
Machine Learning DevOps Engineer,nanodegree,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced,4 Months,4.6,115.0,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",Prior experience with Python and Machine Learning,https://www.udacity.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0821,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/2df8638e709b31e67768e848c1b38b83bad4df41-1456x816.png?w=3840&q=80&fit=clip&auto=format,DevOps,Yes,N/A
